date,ofns_desc,pd_desc,law_cat_cd,boro_nm,station_name,year,month,month_year
2023-12-17,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,BROOKLYN,NEW LOTS AVENUE,2023,12,2023-12
2023-12-17,PETIT LARCENY,"LARCENY,PETIT BY FALSE PROMISE",MISDEMEANOR,MANHATTAN,110 ST.-CATHEDRAL PKWY.,2023,12,2023-12
2023-12-17,DANGEROUS DRUGS,"CONTROLLED SUBSTANCE, POSSESSI",MISDEMEANOR,MANHATTAN,116 STREET,2023,12,2023-12
2023-12-17,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,MANHATTAN,FULTON STREET,2023,12,2023-12
2023-12-17,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,QUEENS,MAIN ST.-FLUSHING,2023,12,2023-12
2023-12-17,OTHER OFFENSES RELATED TO THEF,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BROOKLYN,UTICA AVE.-CROWN HEIGHTS,2023,12,2023-12
2023-12-17,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",VIOLATION,BRONX,161 ST.-YANKEE STADIUM,2023,12,2023-12
2023-12-17,ADMINISTRATIVE CODE,N.Y.C. TRANSIT AUTH. R&R,VIOLATION,BRONX,BRONX PARK EAST,2023,12,2023-12
2023-12-17,ADMINISTRATIVE CODE,N.Y.C. TRANSIT AUTH. R&R,VIOLATION,BRONX,GUN HILL ROAD,2023,12,2023-12
2023-12-16,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL,    UNCL 2ND",FELONY,MANHATTAN,42 ST.-TIMES SQUARE,2023,12,2023-12
2023-12-16,ROBBERY,"ROBBERY,NECKCHAIN/JEWELRY",FELONY,BRONX,170 STREET,2023,12,2023-12
2023-12-16,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,MANHATTAN,FULTON STREET,2023,12,2023-12
2023-12-16,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)",FELONY,BROOKLYN,CLASSON AVENUE,2023,12,2023-12
2023-12-16,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,MANHATTAN,47-50 STS./ROCKEFELLER CTR.,2023,12,2023-12
2023-12-16,ADMINISTRATIVE CODE,N.Y.C. TRANSIT AUTH. R&R,VIOLATION,BROOKLYN,BROADWAY-EASTERN PKWY,2023,12,2023-12
2023-12-16,OTHER OFFENSES RELATED TO THEF,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,MANHATTAN,34 ST.-PENN STATION,2023,12,2023-12
2023-12-16,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,QUEENS,71 AVE.-FOREST HILLS,2023,12,2023-12
2023-12-16,OFFENSES AGAINST THE PERSON,RECKLESS ENDANGERMENT 2,MISDEMEANOR,BROOKLYN,BROADWAY-EAST NEW YORK,2023,12,2023-12
