"cmplnt_fr_dt","ofns_desc","pd_desc","law_cat_cd","boro_nm","station_name"
"2025-12-31T00:00:00.000","ASSAULT 3 & RELATED OFFENSES","ASSAULT 3","MISDEMEANOR","MANHATTAN","57 STREET"
"2025-12-31T00:00:00.000","VEHICLE AND TRAFFIC LAWS","TRAFFIC,UNCLASSIFIED MISDEMEAN","MISDEMEANOR","MANHATTAN","(null)"
"2025-12-31T00:00:00.000","GRAND LARCENY","LARCENY,GRAND FROM STORE-SHOPL","FELONY","MANHATTAN","(null)"
"2025-12-31T00:00:00.000","BURGLAR'S TOOLS","BURGLARS TOOLS,UNCLASSIFIED","MISDEMEANOR","QUEENS","(null)"
"2025-12-31T00:00:00.000","GRAND LARCENY","LARCENY,GRAND BY EXTORTION","FELONY","QUEENS","(null)"
"2025-12-31T00:00:00.000","HARRASSMENT 2","HARASSMENT,SUBD 3,4,5","VIOLATION","QUEENS","(null)"
"2025-12-31T00:00:00.000","ASSAULT 3 & RELATED OFFENSES","OBSTR BREATH/CIRCUL","MISDEMEANOR","MANHATTAN","(null)"
"2025-12-31T00:00:00.000","CRIMINAL MISCHIEF & RELATED OF","RECKLESS ENDANGERMENT OF PROPE","MISDEMEANOR","MANHATTAN","(null)"
"2025-12-31T00:00:00.000","VEHICLE AND TRAFFIC LAWS","LEAVING SCENE-ACCIDENT-PERSONA","MISDEMEANOR","MANHATTAN","(null)"
"2025-12-31T00:00:00.000","MISCELLANEOUS PENAL LAW","MAKING TERRORISTIC THREAT","FELONY","MANHATTAN","(null)"
"2025-12-31T00:00:00.000","HARRASSMENT 2","HARASSMENT,SUBD 3,4,5","VIOLATION","QUEENS","(null)"
"2025-12-31T00:00:00.000","CRIMINAL MISCHIEF & RELATED OF","MISCHIEF,CRIMINAL,    UNCL 2ND","FELONY","QUEENS","(null)"
